idx,repeat,params_sigma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
5,4,1.5,3.576430798194441,0.9856894197181,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.016331672668457
5,7,1.5,3.568080194573621,0.9864906288470452,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,7,0.0178313255310058
5,12,1.5,2.6529713392976557,0.9885036912426568,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,12,0.0170674324035644
5,15,1.5,4.144072970725904,0.9744033647192712,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,15,0.0192635059356689
5,6,1.5,2.5731937226476345,0.9861941421066204,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,6,0.0171935558319091
5,10,1.5,3.036550988731128,0.974293306992472,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,10,0.0173225402832031
5,16,1.5,4.309553952815281,0.982974114254585,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,16,0.0158326625823974
5,18,1.5,3.2996265833380707,0.9842450126253928,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,18,0.0171947479248046
5,2,1.5,3.802756117371679,0.9822576267668393,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,2,0.01735520362854
5,5,1.5,5.188024687511011,0.9763066067430444,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,5,0.0182752609252929
5,8,1.5,3.353476743849202,0.9802418545041736,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,8,0.0176513195037841
5,17,1.5,3.862817300459573,0.9791516000482788,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,17,0.0168483257293701
5,19,1.5,3.425563460467949,0.9868452644413134,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,19,0.0181207656860351
5,14,1.5,2.626631894690413,0.987085080858955,0.8333333333333333,1.0,0.2857142857142857,0.7142857142857143,1.0,0.944,28,14,0.0212688446044921
5,1,1.5,2.7775910911149717,0.9853468627576468,0.7407407407407407,1.0,0.4117647058823529,0.5882352941176471,1.0,0.932,34,1,0.0202457904815673
5,13,1.5,2.9975547825603663,0.9870953637190149,0.7407407407407407,1.0,0.4117647058823529,0.5882352941176471,1.0,0.932,34,13,0.0206148624420166
6,4,2.0,5.964639106235105,0.9764202078571312,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,4,0.0166764259338378
6,3,2.0,7.199738528949454,0.964002048101021,0.8333333333333333,1.0,0.2857142857142857,0.7142857142857143,1.0,0.944,28,3,0.0181910991668701
6,7,2.0,6.008459977238952,0.9776545483012083,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,7,0.0195186138153076
6,8,2.0,5.924087289350004,0.9659895548302558,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,8,0.0216233730316162
6,11,2.0,6.990691535896403,0.9673745126127802,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,11,0.0199368000030517
6,9,2.0,5.539213172045424,0.9757188822416852,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,9,0.0215110778808593
6,0,2.0,4.915413688977653,0.977110868565145,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.934,33,0,0.0252172946929931
6,6,2.0,4.899420927380307,0.9739016161879092,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.934,33,6,0.0225381851196289
6,15,2.0,6.831496304110911,0.9583550480175046,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.934,33,15,0.0240612030029296
6,10,2.0,5.483855323923156,0.9542469590980222,0.7407407407407407,1.0,0.4117647058823529,0.5882352941176471,1.0,0.932,34,10,0.020007848739624
6,12,2.0,4.408838624531423,0.981179868569972,0.7407407407407407,1.0,0.4117647058823529,0.5882352941176471,1.0,0.932,34,12,0.0234150886535644
6,16,2.0,7.998962552783868,0.9685764711921409,0.7407407407407407,1.0,0.4117647058823529,0.5882352941176471,1.0,0.932,34,16,0.0192437171936035
6,18,2.0,5.5735972776522,0.9736258091439918,0.7272727272727273,1.0,0.4285714285714285,0.5714285714285714,1.0,0.93,35,18,0.0208692550659179
6,14,2.0,4.379742872640699,0.978432949128638,0.7169811320754716,0.95,0.4242424242424242,0.5757575757575758,0.95,0.934,33,14,0.0239760875701904
6,17,2.0,6.264094324527081,0.9666904000773464,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,17,0.0221939086914062
6,19,2.0,5.9211135987429095,0.9774768097137068,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,19,0.0243518352508544
6,5,2.0,7.669085866875189,0.9650188988464812,0.6779661016949152,1.0,0.4871794871794871,0.5128205128205128,1.0,0.922,39,5,0.0288536548614501
6,13,2.0,5.324289065700758,0.9774518112999104,0.6557377049180327,1.0,0.5121951219512195,0.4878048780487805,1.0,0.918,41,13,0.0247790813446044
6,1,2.0,5.309626758830135,0.9724625654204642,0.6349206349206349,1.0,0.5348837209302325,0.4651162790697674,1.0,0.914,43,1,0.0281240940093994
6,2,2.0,6.524893446363411,0.9696126453119068,0.6349206349206349,1.0,0.5348837209302325,0.4651162790697674,1.0,0.914,43,2,0.028010606765747
7,7,3.0,13.604643882407911,0.9514466638314132,0.6779661016949152,1.0,0.4871794871794871,0.5128205128205128,1.0,0.922,39,7,0.0231208801269531
7,9,3.0,12.807762718489744,0.9446583264622826,0.6666666666666667,0.9,0.4705882352941176,0.5294117647058824,0.9,0.932,34,9,0.0242121219635009
7,4,3.0,12.98313585341552,0.9501941748969578,0.6557377049180327,1.0,0.5121951219512195,0.4878048780487805,1.0,0.918,41,4,0.0248258113861084
7,8,3.0,12.732078872932007,0.9311038874244264,0.631578947368421,0.9,0.5135135135135135,0.4864864864864865,0.9,0.926,37,8,0.0268530845642089
7,15,3.0,13.832824763447736,0.9184962862046676,0.6296296296296295,0.85,0.5,0.5,0.85,0.932,34,15,0.0270187854766845
7,11,3.0,16.080212716110335,0.9269490698179068,0.625,1.0,0.5454545454545454,0.4545454545454545,1.0,0.912,44,11,0.03021240234375
