sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.3,3.3333333333333335,10,1.0,1.0,0.5,0.42710459955958224,0.9953607590962625,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011482715606689453
0.3,3.3333333333333335,11,1.0,1.0,0.5,0.7135260736538929,0.9931743460873667,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008933544158935547
0.3,3.3333333333333335,12,1.0,1.0,0.5,0.4364821511183372,0.9927317053515169,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00890207290649414
0.3,3.3333333333333335,13,1.0,1.0,0.5,0.8471226985266435,0.9802158499581097,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00865626335144043
0.3,3.3333333333333335,14,1.0,1.0,0.5,0.5927564948305898,0.9931645583206304,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008979320526123047
0.3,3.3333333333333335,15,1.0,1.0,0.5,0.6094740577402902,0.9909153871861345,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008721351623535156
0.3,3.3333333333333335,16,1.0,1.0,0.5,0.3120188413273307,0.9947518674270698,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008603811264038086
0.3,3.3333333333333335,17,1.0,1.0,0.5,0.6363085102958139,0.9884471303438609,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009026527404785156
0.3,3.3333333333333335,18,1.0,1.0,0.5,0.4889049312967353,0.9936191318549471,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008798599243164062
0.3,3.3333333333333335,19,1.0,1.0,0.5,0.9245318087784317,0.9913240826248241,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008970260620117188
0.3,3.3333333333333335,20,1.0,1.0,0.5,0.561953932423614,0.9926921860166824,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00872039794921875
0.3,3.3333333333333335,21,1.0,1.0,0.5,0.43028737575909376,0.991806345528438,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008825540542602539
0.3,3.3333333333333335,22,1.0,1.0,0.5,0.5384824814047625,0.993183902223594,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00923919677734375
0.3,3.3333333333333335,23,1.0,1.0,0.5,0.4187261985952381,0.9946322895911616,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010593891143798828
0.3,3.3333333333333335,24,1.0,1.0,0.5,0.8294917309148272,0.9895563592728784,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008847236633300781
0.3,3.3333333333333335,25,1.0,1.0,0.5,0.41668805947798343,0.995091510131812,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008861064910888672
0.3,3.3333333333333335,26,1.0,1.0,0.5,0.37425725285409295,0.9944744930568593,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009047985076904297
0.3,3.3333333333333335,27,1.0,1.0,0.5,1.9892905898884023,0.9717158155401613,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009302616119384766
0.3,3.3333333333333335,28,1.0,1.0,0.5,1.0643391335616939,0.9853363253009956,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008631706237792969
0.3,3.3333333333333335,29,1.0,1.0,0.5,0.7389313294689028,0.9919147304219657,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00864720344543457
