repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
34,76,56,15,0.6819455802102186,21,0.9948630136986302,15.619074583053589,21,"[623, 826, 863, 973, 1094, 1209, 1281, 1477, 1502, 1638, 1647, 1761, 1819, 1848, 2563, 3310, 3377, 3513, 3514, 3807, 4002]",0.1,34,lasso_cv
35,77,56,15,0.4188135722681911,49,0.988013698630137,17.574169397354126,49,"[70, 72, 75, 132, 142, 244, 404, 550, 556, 584, 595, 597, 631, 736, 1100, 1130, 1223, 1238, 1296, 1302, 1424, 1477, 1523, 1587, 1597, 1601, 1638, 1745, 1761, 1854, 1856, 1959, 1995, 2026, 2133, 2176, 2563, 2716, 2717, 3103, 3104, 3280, 3310, 3312, 3464, 3524, 4002, 4003, 4072]",0.01,35,lasso_cv
36,78,56,15,0.6425267191529365,47,0.9885029354207436,11.036108255386353,47,"[287, 364, 383, 418, 496, 588, 623, 858, 961, 1104, 1130, 1209, 1281, 1302, 1315, 1355, 1524, 1587, 1638, 1738, 1761, 1854, 1868, 2026, 2040, 2094, 2116, 2241, 2461, 2483, 2563, 2653, 3225, 3310, 3378, 3477, 3514, 3524, 3754, 3786, 3835, 3857, 3922, 3949, 3997, 3998, 4002]",0.01,36,lasso_cv
37,79,56,15,0.375975231193298,49,0.988013698630137,17.99390959739685,49,"[72, 132, 533, 555, 556, 557, 584, 598, 651, 831, 1122, 1125, 1130, 1139, 1302, 1424, 1515, 1523, 1524, 1761, 1809, 1826, 1854, 1856, 1950, 1959, 2033, 2241, 2302, 2533, 2563, 2771, 2873, 2919, 2989, 3076, 3310, 3471, 3545, 3561, 3695, 3821, 3860, 3949, 3997, 4000, 4002, 4072, 4074]",0.01,37,lasso_cv
38,80,56,15,0.27814824581908104,51,0.9875244618395304,16.509451150894165,51,"[58, 72, 133, 143, 166, 189, 243, 329, 364, 597, 607, 623, 869, 1064, 1124, 1130, 1280, 1281, 1390, 1523, 1584, 1635, 1639, 1761, 1809, 1826, 1854, 1856, 2026, 2094, 2115, 2241, 2473, 2563, 2738, 2935, 2982, 3103, 3225, 3310, 3378, 3478, 3507, 3514, 3524, 3684, 3688, 3736, 3754, 3917, 4002]",0.01,38,lasso_cv
39,81,56,15,0.49503114166023976,21,0.9948630136986302,12.976771831512451,21,"[414, 623, 826, 973, 1277, 1281, 1302, 1311, 1424, 1479, 1527, 1761, 1809, 1995, 2563, 3310, 3513, 3846, 3957, 4002, 4003]",0.1,39,lasso_cv
40,82,56,15,0.17160557697508652,49,0.988013698630137,17.28826093673706,49,"[68, 74, 244, 281, 364, 623, 826, 858, 946, 1064, 1107, 1122, 1130, 1207, 1209, 1276, 1280, 1293, 1424, 1441, 1478, 1523, 1588, 1638, 1761, 1854, 1858, 1936, 2026, 2040, 2241, 2357, 2563, 2825, 2863, 2873, 2918, 2935, 3076, 3103, 3104, 3225, 3378, 3666, 3904, 3949, 3961, 4002, 4074]",0.01,40,lasso_cv
41,83,56,15,0.38970216637894334,25,0.9938845401174168,14.472115993499756,25,"[149, 496, 623, 1122, 1207, 1277, 1281, 1282, 1296, 1305, 1311, 1363, 1502, 1515, 1638, 1761, 1985, 2183, 2563, 3043, 3225, 3310, 3513, 4002, 4074]",0.1,41,lasso_cv
42,84,56,15,0.21924707787699246,20,0.9951076320939335,13.501235246658325,20,"[72, 623, 973, 985, 1122, 1130, 1277, 1281, 1311, 1363, 1638, 1761, 1819, 1826, 1995, 2563, 3513, 4002, 4003, 4074]",0.1,42,lasso_cv
43,85,56,15,0.18920220387664133,49,0.988013698630137,17.805325508117676,49,"[24, 58, 72, 541, 623, 653, 826, 1081, 1094, 1130, 1281, 1293, 1302, 1489, 1527, 1553, 1635, 1639, 1761, 1809, 1826, 1950, 2026, 2033, 2115, 2289, 2344, 2473, 2528, 2563, 2738, 2873, 3103, 3171, 3225, 3310, 3322, 3378, 3478, 3666, 3668, 3997, 3998, 4002, 4003, 4046, 4061, 4069, 4074]",0.01,43,lasso_cv
