repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,best_gamma,cv_score,iteration,algo
35,77,56,15,0.46752325043337184,55,0.9865459882583171,5.680516958236694,55,"[70, 72, 75, 132, 244, 404, 550, 556, 584, 595, 597, 651, 710, 809, 941, 1064, 1100, 1130, 1223, 1238, 1240, 1296, 1302, 1424, 1523, 1587, 1597, 1601, 1605, 1638, 1745, 1761, 1811, 1854, 1856, 1959, 1995, 2026, 2133, 2176, 2317, 2563, 2716, 3103, 3104, 3169, 3238, 3280, 3312, 3464, 3524, 4001, 4002, 4003, 4072]",9.999999999999999e-05,0.5,-50.73319272624742,35,adaptive_lasso_cv
36,78,56,15,1.0805182942351341,0,1.0,4.229758262634277,0,[],0.41753189365604043,1.0,-51.16025635265514,36,adaptive_lasso_cv
37,79,56,15,0.43432685429755824,57,0.9860567514677103,4.905285596847534,57,"[27, 72, 132, 243, 281, 427, 533, 555, 584, 596, 598, 651, 790, 831, 1031, 1094, 1122, 1125, 1130, 1302, 1424, 1523, 1524, 1693, 1761, 1809, 1826, 1854, 1856, 1959, 2033, 2087, 2241, 2260, 2302, 2533, 2563, 2669, 2738, 2771, 2989, 3076, 3471, 3478, 3484, 3507, 3545, 3561, 3695, 3821, 3860, 3949, 3997, 4000, 4002, 4072, 4074]",9.999999999999999e-05,0.5,-52.463792661932,37,adaptive_lasso_cv
38,80,56,15,0.29937769651231794,60,0.9853228962818004,5.523652076721191,60,"[24, 72, 74, 133, 143, 189, 277, 281, 329, 364, 404, 539, 597, 607, 623, 869, 1064, 1103, 1124, 1130, 1280, 1281, 1294, 1523, 1584, 1635, 1702, 1738, 1761, 1809, 1854, 1856, 1858, 2026, 2094, 2115, 2241, 2461, 2473, 2483, 2556, 2563, 2767, 2935, 2982, 3103, 3225, 3310, 3378, 3478, 3507, 3514, 3524, 3545, 3667, 3684, 3736, 3949, 4002, 4069]",9.999999999999999e-05,0.5,-53.416721886826906,38,adaptive_lasso_cv
39,81,56,15,0.2948650125404492,56,0.9863013698630136,5.227918863296509,56,"[72, 166, 216, 623, 702, 813, 889, 971, 1130, 1209, 1280, 1301, 1302, 1355, 1424, 1478, 1523, 1525, 1527, 1584, 1761, 1826, 1875, 1909, 2026, 2087, 2094, 2260, 2278, 2302, 2461, 2563, 2710, 2926, 3032, 3103, 3109, 3151, 3238, 3302, 3310, 3378, 3477, 3478, 3513, 3538, 3668, 3695, 3770, 3904, 3949, 3999, 4002, 4003, 4069, 4074]",9.999999999999999e-05,0.5,-51.403372620607094,39,adaptive_lasso_cv
40,82,56,15,0.26271652670959733,57,0.9860567514677103,5.398327827453613,57,"[68, 74, 244, 280, 281, 539, 623, 826, 858, 946, 1064, 1074, 1130, 1207, 1209, 1276, 1280, 1293, 1424, 1441, 1477, 1478, 1523, 1588, 1638, 1647, 1761, 1858, 1868, 1936, 1946, 2026, 2040, 2241, 2260, 2357, 2563, 2627, 2825, 2873, 2918, 2935, 2989, 3076, 3102, 3103, 3104, 3225, 3378, 3513, 3545, 3666, 3904, 3949, 4002, 4017, 4074]",9.999999999999999e-05,0.5,-52.44990151159969,40,adaptive_lasso_cv
41,83,56,15,0.3168507266665838,58,0.985812133072407,4.888513803482056,58,"[27, 72, 195, 243, 277, 281, 521, 607, 623, 653, 832, 858, 1039, 1064, 1122, 1130, 1193, 1209, 1280, 1307, 1363, 1424, 1441, 1477, 1502, 1523, 1584, 1635, 1638, 1639, 1647, 1663, 1761, 1946, 2026, 2116, 2241, 2461, 2473, 2549, 2563, 2693, 2701, 2922, 3225, 3229, 3254, 3310, 3365, 3490, 3513, 3555, 3845, 3854, 3904, 3949, 3986, 4002]",9.999999999999999e-05,0.5,-51.39582628837902,41,adaptive_lasso_cv
42,84,56,15,0.3090666279254054,56,0.9863013698630136,5.742846965789795,56,"[11, 33, 72, 133, 243, 363, 584, 623, 653, 826, 1064, 1122, 1130, 1209, 1278, 1280, 1346, 1382, 1424, 1441, 1527, 1573, 1714, 1761, 1801, 1848, 1850, 1854, 1858, 1868, 2026, 2045, 2116, 2161, 2260, 2461, 2473, 2563, 2825, 2863, 2873, 2930, 3054, 3103, 3310, 3378, 3478, 3490, 3513, 3649, 3666, 3668, 3904, 4002, 4069, 4074]",9.999999999999999e-05,0.5,-51.64467786409525,42,adaptive_lasso_cv
43,85,56,15,0.23810803852597515,56,0.9863013698630136,6.5924928188323975,56,"[58, 72, 541, 623, 653, 826, 834, 1081, 1122, 1130, 1281, 1293, 1302, 1527, 1553, 1635, 1638, 1639, 1761, 1804, 1809, 1826, 1854, 1858, 1950, 2026, 2033, 2115, 2289, 2304, 2344, 2473, 2483, 2563, 2738, 2825, 2873, 2930, 3042, 3103, 3225, 3310, 3322, 3378, 3478, 3666, 3668, 3695, 3922, 3997, 3998, 4002, 4003, 4046, 4069, 4074]",9.999999999999999e-05,0.5,-52.35832382404303,43,adaptive_lasso_cv
44,86,56,15,0.5721129844735469,59,0.9855675146771037,4.538351535797119,59,"[33, 63, 72, 496, 579, 623, 653, 785, 791, 834, 858, 889, 896, 941, 1088, 1122, 1130, 1206, 1209, 1238, 1280, 1282, 1302, 1435, 1523, 1527, 1660, 1761, 1801, 1804, 1826, 1994, 2104, 2139, 2241, 2305, 2344, 2483, 2505, 2563, 2598, 2701, 2814, 2873, 2922, 2926, 2928, 3048, 3104, 3302, 3322, 3477, 3513, 3545, 3860, 3949, 4002, 4011, 4046]",9.999999999999999e-05,0.5,-51.373981856647376,44,adaptive_lasso_cv
45,87,56,15,0.09868898412892886,55,0.9865459882583171,5.674039125442505,55,"[11, 32, 63, 72, 118, 243, 579, 607, 623, 653, 813, 858, 896, 1090, 1099, 1103, 1124, 1130, 1193, 1209, 1281, 1293, 1302, 1424, 1477, 1527, 1635, 1761, 1826, 2026, 2115, 2241, 2264, 2344, 2461, 2473, 2528, 2563, 2814, 2873, 3103, 3168, 3219, 3225, 3310, 3477, 3478, 3490, 3513, 3538, 3555, 3591, 3754, 4002, 4003]",9.999999999999999e-05,0.5,-52.35843948902961,45,adaptive_lasso_cv
46,88,56,15,0.29923220577764625,55,0.9865459882583171,5.25002121925354,55,"[64, 72, 74, 189, 313, 414, 623, 653, 858, 889, 941, 973, 1122, 1127, 1130, 1280, 1281, 1302, 1424, 1523, 1527, 1584, 1591, 1635, 1638, 1714, 1761, 1809, 1819, 1826, 1850, 1901, 2026, 2260, 2461, 2563, 2738, 2814, 2935, 3054, 3103, 3104, 3108, 3109, 3188, 3225, 3229, 3378, 3514, 3545, 3667, 3835, 4002, 4017, 4069]",9.999999999999999e-05,0.5,-52.87744321718556,46,adaptive_lasso_cv
47,89,56,15,0.830916316265038,0,1.0,5.080846071243286,0,[],0.6210169418915616,1.0,-50.993926169860856,47,adaptive_lasso_cv
48,90,56,15,0.1888896599372267,53,0.9870352250489237,5.112731695175171,53,"[11, 64, 72, 133, 541, 623, 826, 889, 896, 973, 1104, 1130, 1209, 1280, 1287, 1302, 1424, 1441, 1527, 1553, 1635, 1638, 1761, 1858, 2026, 2074, 2241, 2344, 2563, 2653, 2825, 2873, 3054, 3103, 3109, 3225, 3234, 3254, 3310, 3322, 3477, 3478, 3513, 3668, 3835, 3841, 3904, 3956, 3964, 4002, 4003, 4069, 4074]",9.999999999999999e-05,0.5,-50.51027514943694,48,adaptive_lasso_cv
