repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,iteration,algo
73,115,56,15,0.4148428506568113,17,0.9958414872798435,38.1294949054718,17,"[555, 556, 1122, 1296, 1302, 1501, 1515, 1587, 1638, 1761, 2563, 2771, 2873, 3287, 3310, 3738, 4002]",73,relaxed_lasso_1se
74,116,56,15,0.39008923676176793,12,0.99706457925636,30.269482374191284,12,"[124, 623, 824, 1284, 1363, 1515, 1527, 1639, 2027, 2563, 3513, 4003]",74,relaxed_lasso_1se
75,117,56,15,0.4466814089291223,17,0.9958414872798435,31.930326223373413,17,"[1122, 1276, 1278, 1302, 1311, 1501, 1503, 1515, 1584, 1587, 1761, 2067, 2241, 2563, 2873, 3290, 4003]",75,relaxed_lasso_1se
76,118,56,15,0.18064114058044878,25,0.9938845401174168,36.904515504837036,25,"[143, 414, 623, 1122, 1130, 1278, 1282, 1296, 1424, 1477, 1515, 1638, 1761, 1819, 1826, 1856, 2026, 2473, 2563, 3104, 3225, 3507, 3513, 4002, 4003]",76,relaxed_lasso_1se
77,119,56,15,0.19328737152460113,22,0.9946183953033269,29.833235025405884,22,"[72, 132, 556, 651, 1296, 1302, 1311, 1515, 1523, 1638, 1639, 1761, 1809, 1819, 1854, 1936, 1959, 2094, 2563, 2873, 3310, 4003]",77,relaxed_lasso_1se
78,120,56,15,0.2282023770570599,20,0.9951076320939335,40.36420965194702,20,"[72, 314, 623, 1081, 1130, 1277, 1302, 1305, 1311, 1424, 1477, 1502, 1515, 1527, 1638, 1761, 1819, 2563, 3513, 4002]",78,relaxed_lasso_1se
79,121,56,15,0.29070600013384484,25,0.9938845401174168,26.415916919708252,25,"[72, 314, 414, 623, 1085, 1122, 1277, 1278, 1284, 1311, 1489, 1502, 1515, 1587, 1638, 1639, 1874, 2026, 2563, 3310, 3513, 3666, 4002, 4003, 4074]",79,relaxed_lasso_1se
80,122,56,15,0.37429038518256913,21,0.9948630136986302,23.31983757019043,21,"[307, 314, 553, 651, 764, 824, 971, 1296, 1302, 1308, 1311, 1515, 1523, 1602, 1638, 1761, 1959, 2241, 2738, 2873, 4003]",80,relaxed_lasso_1se
81,123,56,15,0.23998336438888807,22,0.9946183953033269,28.348926544189453,22,"[72, 414, 623, 1130, 1296, 1302, 1311, 1638, 1761, 1819, 1856, 2563, 2738, 2873, 3225, 3310, 3513, 3609, 3846, 3957, 4002, 4074]",81,relaxed_lasso_1se
82,124,56,15,0.3548159303137567,44,0.9892367906066536,28.484053373336792,44,"[11, 72, 243, 414, 558, 623, 627, 858, 973, 1064, 1130, 1209, 1278, 1280, 1281, 1302, 1424, 1435, 1597, 1761, 1819, 1826, 1854, 1959, 2010, 2473, 2563, 2863, 2873, 3104, 3225, 3310, 3513, 3666, 3667, 3860, 3904, 3998, 4002, 4017, 4044, 4046, 4072, 4074]",82,relaxed_lasso_1se
83,125,56,15,0.24664254055594398,12,0.99706457925636,33.53998804092407,12,"[623, 824, 973, 1277, 1311, 1503, 1515, 1638, 1959, 2563, 3807, 4002]",83,relaxed_lasso_1se
84,126,56,15,0.1627663442482101,20,0.9951076320939335,25.089962244033813,20,"[68, 72, 133, 314, 623, 973, 1122, 1302, 1635, 1638, 1761, 1819, 1856, 2563, 3464, 3513, 3846, 4002, 4044, 4074]",84,relaxed_lasso_1se
85,127,56,15,0.1640393767072368,27,0.9933953033268101,40.95046305656433,27,"[72, 141, 623, 973, 985, 1282, 1302, 1424, 1515, 1527, 1635, 1638, 1761, 1826, 1856, 1995, 2026, 2094, 2563, 3225, 3310, 3513, 3846, 4002, 4003, 4005, 4074]",85,relaxed_lasso_1se
86,128,56,15,0.1564017677875056,29,0.9929060665362035,39.36567234992981,29,"[72, 314, 414, 623, 1130, 1278, 1296, 1311, 1363, 1424, 1502, 1515, 1523, 1638, 1639, 1761, 1819, 1826, 1854, 2026, 2094, 2115, 2241, 2563, 3104, 3225, 3310, 4002, 4074]",86,relaxed_lasso_1se
87,129,56,15,0.5246790031710352,13,0.9968199608610567,25.69140934944153,13,"[414, 623, 826, 973, 1209, 1278, 1281, 1311, 1587, 1761, 1995, 2563, 4002]",87,relaxed_lasso_1se
88,130,56,15,0.43753058971396863,28,0.9931506849315068,46.87075591087341,28,"[75, 132, 314, 584, 677, 953, 1085, 1122, 1296, 1302, 1311, 1363, 1501, 1515, 1524, 1587, 1638, 1826, 1848, 1959, 2026, 2241, 2563, 2873, 3310, 3738, 4002, 4003]",88,relaxed_lasso_1se
89,131,56,15,0.6752960281271466,14,0.9965753424657534,44.05104923248291,14,"[37, 149, 554, 1122, 1296, 1311, 1501, 1515, 1587, 1761, 2563, 3975, 4002, 4003]",89,relaxed_lasso_1se
90,132,56,15,0.15985023739806412,21,0.9948630136986302,35.54004168510437,21,"[307, 623, 824, 973, 1122, 1296, 1302, 1311, 1502, 1515, 1527, 1638, 1639, 1761, 1819, 2352, 2563, 3225, 3513, 4002, 4003]",90,relaxed_lasso_1se
91,133,56,15,0.28638721557498686,19,0.9953522504892368,37.4791784286499,19,"[623, 824, 973, 976, 1277, 1278, 1296, 1311, 1363, 1435, 1515, 1638, 1639, 1819, 2563, 3225, 3513, 3807, 4005]",91,relaxed_lasso_1se
92,134,56,15,0.5853329599662485,9,0.99779843444227,39.82128190994263,9,"[554, 651, 1122, 1296, 1311, 1515, 1639, 1995, 4003]",92,relaxed_lasso_1se
93,135,56,15,0.42146370525970267,14,0.9965753424657534,36.814205169677734,14,"[623, 826, 973, 1094, 1278, 1281, 1311, 1479, 1515, 1587, 2563, 3225, 3513, 4002]",93,relaxed_lasso_1se
94,136,56,15,0.2298657636954205,36,0.9911937377690803,45.622965812683105,36,"[72, 243, 287, 414, 584, 623, 858, 1130, 1207, 1278, 1302, 1311, 1502, 1584, 1635, 1761, 1819, 1825, 1826, 1848, 1856, 2026, 2115, 2241, 2344, 2563, 3104, 3225, 3310, 3377, 3538, 3904, 3964, 4002, 4003, 4074]",94,relaxed_lasso_1se
95,137,56,15,0.32595863322599833,17,0.9958414872798435,31.686009407043457,17,"[623, 826, 973, 1209, 1282, 1296, 1311, 1502, 1503, 1515, 1587, 1638, 1995, 2563, 2771, 3513, 4002]",95,relaxed_lasso_1se
96,138,56,15,0.1392106583738696,16,0.9960861056751468,42.661059856414795,16,"[72, 623, 973, 1277, 1278, 1302, 1311, 1515, 1638, 1959, 1995, 2563, 3513, 4002, 4005, 4074]",96,relaxed_lasso_1se
97,139,56,15,0.24853904062960222,23,0.9943737769080235,26.52261447906494,23,"[142, 414, 623, 826, 1122, 1207, 1278, 1478, 1638, 1639, 1761, 1826, 1848, 1856, 2026, 3054, 3310, 3513, 3904, 4002, 4003, 4017, 4074]",97,relaxed_lasso_1se
98,140,56,15,0.16905934171424383,28,0.9931506849315068,38.035462379455566,28,"[68, 72, 414, 623, 651, 973, 1122, 1130, 1277, 1281, 1282, 1302, 1311, 1424, 1523, 1638, 1761, 1819, 1856, 1995, 2026, 2094, 2563, 3225, 3310, 3513, 3807, 4002]",98,relaxed_lasso_1se
99,141,56,15,0.12709818124965463,16,0.9960861056751468,28.686343908309937,16,"[142, 307, 623, 826, 1277, 1302, 1311, 1502, 1515, 1527, 1638, 1826, 1995, 2563, 3513, 4002]",99,relaxed_lasso_1se
