gamma,cap,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,sign_accuracy_mean,sign_accuracy_std,active_set_size_mean,active_set_size_std,avg_bias_mean,avg_bias_std,f1_se,mse_se,tpr_se,fdr_se,precision_se,recall_se,r2_se,sparsity_se,n_selected_se,sign_accuracy_se,active_set_size_se,avg_bias_se,f1_rank,mse_rank,fdr_rank,sign_accuracy_rank
1.5,5,0.82812,0.0632,11.842106,0.808203,0.899,0.06267,0.227504,0.087367,0.772496,0.087367,0.899,0.06267,0.86879,0.009348,0.95292,0.005886,23.54,2.943065,1.0,0.0,23.54,2.943065,0.41798,0.082503,0.008938,0.114297,0.008863,0.012355,0.012355,0.008863,0.001322,0.000832,0.416212,0.0,0.416212,0.011668,8.0,33.0,12.0,28.5
1.5,10,0.826374,0.065001,11.751511,0.777883,0.905,0.064087,0.234669,0.087377,0.765331,0.087377,0.905,0.064087,0.869795,0.008999,0.95212,0.006291,23.94,3.145518,1.0,0.0,23.94,3.145518,0.410521,0.082765,0.009193,0.110009,0.009063,0.012357,0.012357,0.009063,0.001273,0.00089,0.444843,0.0,0.444843,0.011705,13.0,10.0,13.0,28.5
1.5,20,0.826105,0.06539,11.751545,0.777838,0.905,0.064087,0.235006,0.088102,0.764994,0.088102,0.905,0.064087,0.869795,0.008998,0.95208,0.006426,23.96,3.213238,1.0,0.0,23.96,3.213238,0.410519,0.082769,0.009247,0.110003,0.009063,0.012459,0.012459,0.009063,0.001273,0.000909,0.45442,0.0,0.45442,0.011705,15.5,12.5,15.5,28.5
1.5,50,0.826105,0.06539,11.751545,0.777838,0.905,0.064087,0.235006,0.088102,0.764994,0.088102,0.905,0.064087,0.869795,0.008998,0.95208,0.006426,23.96,3.213238,1.0,0.0,23.96,3.213238,0.410519,0.082769,0.009247,0.110003,0.009063,0.012459,0.012459,0.009063,0.001273,0.000909,0.45442,0.0,0.45442,0.011705,15.5,12.5,15.5,28.5
1.5,100,0.826105,0.06539,11.751545,0.777838,0.905,0.064087,0.235006,0.088102,0.764994,0.088102,0.905,0.064087,0.869795,0.008998,0.95208,0.006426,23.96,3.213238,1.0,0.0,23.96,3.213238,0.410519,0.082769,0.009247,0.110003,0.009063,0.012459,0.012459,0.009063,0.001273,0.000909,0.45442,0.0,0.45442,0.011705,15.5,12.5,15.5,28.5
1.5,None,0.826105,0.06539,11.751545,0.777838,0.905,0.064087,0.235006,0.088102,0.764994,0.088102,0.905,0.064087,0.869795,0.008998,0.95208,0.006426,23.96,3.213238,1.0,0.0,23.96,3.213238,0.410519,0.082769,0.009247,0.110003,0.009063,0.012459,0.012459,0.009063,0.001273,0.000909,0.45442,0.0,0.45442,0.011705,15.5,12.5,15.5,28.5
2.0,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
2.0,2,0.780467,0.087791,12.548678,0.843004,0.934,0.073151,0.319679,0.119791,0.680321,0.119791,0.934,0.073151,0.860972,0.009584,0.94332,0.011433,28.34,5.716464,1.0,0.0,28.34,5.716464,0.463271,0.074245,0.012415,0.119219,0.010345,0.016941,0.016941,0.010345,0.001355,0.001617,0.80843,0.0,0.80843,0.0105,48.0,55.0,48.0,28.5
2.0,5,0.813441,0.074011,12.134057,0.967998,0.868,0.076772,0.225568,0.105965,0.774432,0.105965,0.868,0.076772,0.86555,0.011187,0.95424,0.008277,22.88,4.138619,1.0,0.0,22.88,4.138619,0.450486,0.092241,0.010467,0.136896,0.010857,0.014986,0.014986,0.010857,0.001582,0.001171,0.585289,0.0,0.585289,0.013045,37.0,50.0,4.0,28.5
2.0,10,0.830967,0.059032,11.743057,0.788404,0.896,0.066117,0.220682,0.080047,0.779318,0.080047,0.896,0.066117,0.869885,0.009165,0.9536,0.00533,23.2,2.664965,1.0,0.0,23.2,2.664965,0.419695,0.087053,0.008348,0.111497,0.00935,0.01132,0.01132,0.00935,0.001296,0.000754,0.376883,0.0,0.376883,0.012311,1.0,9.0,1.0,28.5
