idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
21,2,10.0,1.0,0.5,2.0881543107614187,0.9902582250219356,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.01568317413330078
21,3,10.0,1.0,0.5,2.528744257167367,0.9873468223463416,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,3,0.016067028045654297
21,4,10.0,1.0,0.5,1.7288495225201117,0.9930125189060068,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,4,0.015746355056762695
22,0,10.0,1.0,1.0,1.034512910187092,0.9952601845181304,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0,0.03190279006958008
22,1,10.0,1.0,1.0,1.1496429308690237,0.9938440368462627,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,1,0.02474188804626465
22,2,10.0,1.0,1.0,1.704586248005381,0.9920476683293025,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,2,0.026935577392578125
22,3,10.0,1.0,1.0,2.2561517224200656,0.9887108043937324,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,3,0.018634557723999023
22,4,10.0,1.0,1.0,1.3662149734339486,0.9944781768610582,0.6153846153846153,1.0,0.5555555555555556,0.4444444444444444,1.0,0.91,45,4,0.02776622772216797
23,0,10.0,1.0,2.0,7.491682471624649,0.9656754476289371,0.14492753623188406,1.0,0.921875,0.078125,1.0,0.488,256,0,0.14106297492980957
23,1,10.0,1.0,2.0,2.8731281574381007,0.9846153352504116,0.17543859649122806,1.0,0.9038461538461539,0.09615384615384616,1.0,0.5840000000000001,208,1,0.15273714065551758
23,2,10.0,1.0,2.0,6.055885135180828,0.9717477439402336,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,2,0.16258549690246582
23,3,10.0,1.0,2.0,4.87217661469291,0.9756208971741706,0.1809954751131222,1.0,0.900497512437811,0.09950248756218906,1.0,0.598,201,3,0.14192652702331543
23,4,10.0,1.0,2.0,7.5886148490351495,0.9693291393516222,0.14035087719298245,1.0,0.9245283018867925,0.07547169811320754,1.0,0.47,265,4,0.14633941650390625
24,0,50.0,0.01,0.5,2.448272644158206,0.9887827783797108,0.1809954751131222,1.0,0.900497512437811,0.09950248756218906,1.0,0.598,201,0,0.13707304000854492
24,1,50.0,0.01,0.5,2.3458393194054254,0.9874387951014215,0.17391304347826084,1.0,0.9047619047619048,0.09523809523809523,1.0,0.5800000000000001,210,1,0.14726710319519043
24,2,50.0,0.01,0.5,3.6583280609796582,0.9829329620984728,0.18181818181818182,1.0,0.9,0.1,1.0,0.6,200,2,0.12986111640930176
24,3,50.0,0.01,0.5,3.733236051418296,0.9813198591167335,0.17316017316017313,1.0,0.9052132701421801,0.0947867298578199,1.0,0.5780000000000001,211,3,0.15014171600341797
24,4,50.0,0.01,0.5,3.1993249714551384,0.9870693068075721,0.18264840182648404,1.0,0.8994974874371859,0.10050251256281408,1.0,0.602,199,4,0.15297675132751465
25,0,50.0,0.01,1.0,3.666374357554631,0.983201816264309,0.163265306122449,1.0,0.9111111111111111,0.08888888888888889,1.0,0.55,225,0,0.14793133735656738
25,1,50.0,0.01,1.0,6.034629357375272,0.9676865268571846,0.14705882352941177,1.0,0.9206349206349206,0.07936507936507936,1.0,0.496,252,1,0.14634394645690918
25,2,50.0,0.01,1.0,4.894718484381845,0.9771648839311913,0.1652892561983471,1.0,0.9099099099099099,0.09009009009009009,1.0,0.556,222,2,0.1358036994934082
