idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
23,3,10.0,1.0,2.0,4.87217661469291,0.9756208971741706,0.1809954751131222,1.0,0.900497512437811,0.099502487562189,1.0,0.598,201,3,0.1419265270233154
24,0,50.0,0.01,0.5,2.448272644158206,0.9887827783797108,0.1809954751131222,1.0,0.900497512437811,0.099502487562189,1.0,0.598,201,0,0.1370730400085449
12,0,10.0,0.01,0.5,2.3787351022320355,0.9891013777075176,0.1785714285714285,1.0,0.9019607843137256,0.0980392156862745,1.0,0.5920000000000001,204,0,0.1442813873291015
12,2,10.0,0.01,0.5,3.4288934141005187,0.9840033335219588,0.1777777777777777,1.0,0.902439024390244,0.0975609756097561,1.0,0.5900000000000001,205,2,0.1392061710357666
12,1,10.0,0.01,0.5,2.1333539368412024,0.9885765850626788,0.1769911504424778,1.0,0.9029126213592232,0.0970873786407767,1.0,0.5880000000000001,206,1,0.1380836963653564
0,1,1.0,0.01,0.5,2.1342081086151405,0.9885720112512576,0.1769911504424778,1.0,0.9029126213592232,0.0970873786407767,1.0,0.5880000000000001,206,1,0.1328494548797607
12,3,10.0,0.01,0.5,3.622769733261781,0.9818726038019338,0.175438596491228,1.0,0.903846153846154,0.0961538461538461,1.0,0.5840000000000001,208,3,0.1398303508758545
32,0,50.0,0.5,2.0,3.119023508983972,0.9857096071294812,0.175438596491228,1.0,0.903846153846154,0.0961538461538461,1.0,0.5840000000000001,208,0,0.1454238891601562
23,1,10.0,1.0,2.0,2.8731281574381007,0.9846153352504116,0.175438596491228,1.0,0.903846153846154,0.0961538461538461,1.0,0.5840000000000001,208,1,0.1527371406555175
0,0,1.0,0.01,0.5,2.333498323624556,0.9893086385173944,0.1746724890829694,1.0,0.9043062200956936,0.0956937799043062,1.0,0.5820000000000001,209,0,0.1420433521270752
24,1,50.0,0.01,0.5,2.345839319405425,0.9874387951014216,0.1739130434782608,1.0,0.9047619047619048,0.0952380952380952,1.0,0.5800000000000001,210,1,0.1472671031951904
24,3,50.0,0.01,0.5,3.733236051418296,0.9813198591167336,0.1731601731601731,1.0,0.90521327014218,0.0947867298578199,1.0,0.5780000000000001,211,3,0.1501417160034179
0,3,1.0,0.01,0.5,3.671053916235668,0.9816310023259052,0.1731601731601731,1.0,0.90521327014218,0.0947867298578199,1.0,0.5780000000000001,211,3,0.1413817405700683
11,1,1.0,1.0,2.0,2.696777614617353,0.9855596349234635,0.1731601731601731,1.0,0.90521327014218,0.0947867298578199,1.0,0.5780000000000001,211,1,0.1443865299224853
0,2,1.0,0.01,0.5,3.4385205892722563,0.9839584202826862,0.1716738197424892,1.0,0.9061032863849764,0.0938967136150234,1.0,0.5740000000000001,213,2,0.1284008026123047
35,4,50.0,1.0,2.0,3.736551580602096,0.9848980011353858,0.1709401709401709,1.0,0.9065420560747663,0.0934579439252336,1.0,0.5720000000000001,214,4,0.1446223258972168
32,2,50.0,0.5,2.0,4.818944626859787,0.9775183883946283,0.1702127659574468,1.0,0.9069767441860463,0.0930232558139534,1.0,0.5700000000000001,215,2,0.1394031047821045
20,3,10.0,0.5,2.0,4.421837192293484,0.9778742783533528,0.1680672268907563,1.0,0.908256880733945,0.091743119266055,1.0,0.5640000000000001,218,3,0.1414918899536132
25,4,50.0,0.01,1.0,3.6258668991055054,0.9853453547710131,0.1659751037344398,1.0,0.9095022624434388,0.090497737556561,1.0,0.558,221,4,0.1467483043670654
25,2,50.0,0.01,1.0,4.894718484381845,0.9771648839311912,0.1652892561983471,1.0,0.90990990990991,0.09009009009009,1.0,0.556,222,2,0.1358036994934082
25,0,50.0,0.01,1.0,3.666374357554631,0.983201816264309,0.163265306122449,1.0,0.9111111111111112,0.0888888888888888,1.0,0.55,225,0,0.1479313373565673
13,3,10.0,0.01,1.0,5.433455841364387,0.9728124021085852,0.1612903225806451,1.0,0.912280701754386,0.087719298245614,1.0,0.544,228,3,0.1468038558959961
1,4,1.0,0.01,1.0,3.988652197734936,0.9838790875324068,0.1606425702811245,1.0,0.9126637554585152,0.0873362445414847,1.0,0.542,229,4,0.142674446105957
13,2,10.0,0.01,1.0,3.9848008186110735,0.9814098830209722,0.1593625498007968,1.0,0.9134199134199136,0.0865800865800865,1.0,0.538,231,2,0.1426115036010742
1,1,1.0,0.01,1.0,3.335419902125116,0.9821399136476195,0.1581027667984189,1.0,0.9141630901287554,0.0858369098712446,1.0,0.534,233,1,0.145498514175415
23,2,10.0,1.0,2.0,6.055885135180828,0.9717477439402336,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,2,0.1625854969024658
8,1,1.0,0.5,2.0,5.09929496903504,0.972694937622337,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.1453652381896972
20,1,10.0,0.5,2.0,6.277798912712293,0.9663844331526342,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.143064260482788
13,1,10.0,0.01,1.0,3.8011015540303696,0.9796463401966584,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.1388547420501709
13,4,10.0,0.01,1.0,5.700289645230193,0.9769611723822728,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,4,0.1469130516052246
13,0,10.0,0.01,1.0,4.1534188130908,0.980970330481989,0.1556420233463034,1.0,0.9156118143459916,0.0843881856540084,1.0,0.526,237,0,0.1409101486206054
1,0,1.0,0.01,1.0,3.3423993844625244,0.984686168540708,0.1532567049808429,1.0,0.91701244813278,0.0829875518672199,1.0,0.518,241,0,0.1471023559570312
32,4,50.0,0.5,2.0,10.210273387770092,0.9587331972319094,0.1520912547528517,1.0,0.9176954732510288,0.0823045267489712,1.0,0.514,243,4,0.1468152999877929
17,3,10.0,0.1,2.0,8.363014687608546,0.958153652642992,0.1498127340823969,1.0,0.9190283400809716,0.0809716599190283,1.0,0.506,247,3,0.1489400863647461
11,4,1.0,1.0,2.0,7.880276514284736,0.968150332089783,0.1492537313432836,1.0,0.9193548387096774,0.0806451612903225,1.0,0.504,248,4,0.1464431285858154
1,3,1.0,0.01,1.0,5.649079685014485,0.9717334765539996,0.1486988847583643,1.0,0.9196787148594378,0.0803212851405622,1.0,0.502,249,3,0.1393995285034179
11,0,1.0,1.0,2.0,6.655893844005181,0.9695047704317282,0.1481481481481481,1.0,0.92,0.08,1.0,0.5,250,0,0.1466834545135498
11,3,1.0,1.0,2.0,6.900208834757322,0.9654731521441678,0.1476014760147601,1.0,0.9203187250996016,0.0796812749003984,1.0,0.498,251,3,0.1401987075805664
25,1,50.0,0.01,1.0,6.034629357375272,0.9676865268571846,0.1470588235294117,1.0,0.9206349206349206,0.0793650793650793,1.0,0.496,252,1,0.1463439464569091
25,3,50.0,0.01,1.0,6.069774202965823,0.9696284307556864,0.1470588235294117,1.0,0.9206349206349206,0.0793650793650793,1.0,0.496,252,3,0.1511070728302002
29,2,50.0,0.1,2.0,8.37623626410679,0.9609227113017922,0.1470588235294117,1.0,0.9206349206349206,0.0793650793650793,1.0,0.496,252,2,0.1509780883789062
8,4,1.0,0.5,2.0,7.410389051956778,0.9700494735225984,0.1470588235294117,1.0,0.9206349206349206,0.0793650793650793,1.0,0.496,252,4,0.1413538455963134
1,2,1.0,0.01,1.0,4.981947997077039,0.9767579359007016,0.145985401459854,1.0,0.9212598425196852,0.0787401574803149,1.0,0.492,254,2,0.1477642059326172
29,0,50.0,0.1,2.0,9.054173488120536,0.9585166011444308,0.1454545454545454,1.0,0.9215686274509804,0.0784313725490196,1.0,0.49,255,0,0.1481094360351562
23,0,10.0,1.0,2.0,7.491682471624649,0.9656754476289372,0.144927536231884,1.0,0.921875,0.078125,1.0,0.488,256,0,0.1410629749298095
8,0,1.0,0.5,2.0,7.939838906273083,0.9636221346288488,0.1428571428571428,1.0,0.9230769230769232,0.0769230769230769,1.0,0.48,260,0,0.1421363353729248
