sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.01185917854309082
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011715173721313477
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011193275451660156
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.012112855911254883
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.011634349822998047
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.011592864990234375
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011786222457885742
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011115550994873047
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.012060165405273438
1.0,1.0,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.011604070663452148
1.0,1.0,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.011507034301757812
1.0,1.0,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011615991592407227
1.0,1.0,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011117935180664062
1.0,1.0,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.011956930160522461
1.5,0.6666666666666666,0,1.0,1.0,0.5,4.284574923093129,0.9569044615875366,0.8636363636363635,0.95,0.20833333333333334,0.7916666666666666,0.95,0.952,24,0,0.011549711227416992
1.5,0.6666666666666666,1,1.0,1.0,0.5,3.5741269280583547,0.9558933678966635,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,1,0.01180267333984375
1.5,0.6666666666666666,2,1.0,1.0,0.5,5.936727986394749,0.9152299680512104,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26,2,0.011701345443725586
1.5,0.6666666666666666,3,1.0,1.0,0.5,4.499597769670555,0.9488265653843853,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,0.0113525390625
1.5,0.6666666666666666,4,1.0,1.0,0.5,3.9945773484711324,0.9352229684668705,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.012072324752807617
1.5,0.6666666666666666,0,1.0,1.0,0.5,4.284574923093129,0.9569044615875366,0.8636363636363635,0.95,0.20833333333333334,0.7916666666666666,0.95,0.952,24,0,0.011575460433959961
1.5,0.6666666666666666,1,1.0,1.0,0.5,3.5741269280583547,0.9558933678966635,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,1,0.011530160903930664
1.5,0.6666666666666666,2,1.0,1.0,0.5,5.936727986394749,0.9152299680512104,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26,2,0.011667728424072266
1.5,0.6666666666666666,3,1.0,1.0,0.5,4.499597769670555,0.9488265653843853,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,0.011319875717163086
1.5,0.6666666666666666,4,1.0,1.0,0.5,3.9945773484711324,0.9352229684668705,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.012031316757202148
1.5,0.6666666666666666,0,1.0,1.0,0.5,4.284574923093129,0.9569044615875366,0.8636363636363635,0.95,0.20833333333333334,0.7916666666666666,0.95,0.952,24,0,0.011563301086425781
1.5,0.6666666666666666,1,1.0,1.0,0.5,3.5741269280583547,0.9558933678966635,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,1,0.011626243591308594
1.5,0.6666666666666666,2,1.0,1.0,0.5,5.936727986394749,0.9152299680512104,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26,2,0.01169443130493164
1.5,0.6666666666666666,3,1.0,1.0,0.5,4.499597769670555,0.9488265653843853,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,0.012273550033569336
