sigma,snr,repeat,model,algo,use_cv,accuracy,f1,auc,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,sign_accuracy,best_gamma,cv_score
1.0,1.0,8,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,17.134994506835938,0.00017886983396801166,1.0,,
1.0,1.0,9,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9811320754716981,1.0,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,30.56549835205078,0.012823239066203914,1.0,,
1.0,1.0,10,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.9642857142857143,1.0,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,39.78780508041382,0.047760209459523445,1.0,,
1.0,1.0,11,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,16.83089256286621,0.0001921261366578204,1.0,,
1.0,1.0,12,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,15.141074180603027,0.0002489370712960652,1.0,,
1.0,1.0,13,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.75,0.0,1.0,0.75,0.97,15,0.8571428571428571,0.99,0,34.30638289451599,0.02034113457329631,1.0,,
1.0,1.0,14,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.380788803100586,0.0002715656911161215,1.0,,
1.0,1.0,15,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.61888313293457,0.00045149107984093073,1.0,,
1.0,1.0,16,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,15.508065462112427,0.0002842202376798216,1.0,,
1.0,1.0,17,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,16.7224862575531,0.00015357697954704642,1.0,,
1.0,1.0,18,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,18.898892164230347,0.00011762777839391432,1.0,,
1.0,1.0,19,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,15.588557481765747,0.00020586908224447094,1.0,,
2.0,0.5,0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.983050847457627,0.9977777777777778,0.75,0.0,1.0,0.75,0.97,15,0.8571428571428571,0.99,0,38.37054252624512,0.02468073447326973,1.0,,
2.0,0.5,1,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,18.721284866333008,0.00033691719845597187,1.0,,
2.0,0.5,2,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,17.351187229156494,0.00028559219554869213,1.0,,
2.0,0.5,3,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,17.792418003082275,0.0005300435471288543,1.0,,
2.0,0.5,4,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.967741935483871,0.9977753058954394,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,47.66510248184204,0.022755271253495475,1.0,,
2.0,0.5,5,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,20.35322904586792,0.0002639157174779562,1.0,,
2.0,0.5,6,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0.8695652173913044,0.988,0,18.41763401031494,0.00018437551577427658,1.0,,
2.0,0.5,7,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9811320754716981,1.0,0.7,0.0,1.0,0.7,0.972,14,0.8235294117647058,0.988,0,34.22623920440674,0.02464215330939513,1.0,,
2.0,0.5,8,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,18.56357431411743,0.0003418330777724241,1.0,,
2.0,0.5,9,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9811320754716981,0.998868778280543,0.55,0.0,1.0,0.55,0.978,11,0.7096774193548387,0.982,0,29.365074634552002,0.009656487601645152,1.0,,
2.0,0.5,10,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9818181818181818,0.9921875,0.75,0.0,1.0,0.75,0.97,15,0.8571428571428571,0.99,0,33.42577886581421,0.024924992828871017,1.0,,
2.0,0.5,11,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.808870792388916,0.0004050916928836348,1.0,,
2.0,0.5,12,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.0,1.0,0.95,0.962,19,0.9743589743589743,0.998,0,15.92401647567749,0.0015730087961023215,1.0,,
2.0,0.5,13,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.9655172413793104,0.9733333333333334,0.55,0.0,1.0,0.55,0.978,11,0.7096774193548387,0.982,0,39.84061574935913,0.02014702255101147,1.0,,
2.0,0.5,14,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,19.629241466522217,0.0002470239198797956,1.0,,
2.0,0.5,15,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.95,0.0,1.0,0.95,0.962,19,0.9743589743589743,0.998,0,18.116003036499023,0.0004611408461212219,1.0,,
2.0,0.5,16,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,15.897287368774414,0.00017534689889908833,1.0,,
2.0,0.5,17,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0.9090909090909091,0.992,0,16.60209059715271,0.0003533655773063457,1.0,,
2.0,0.5,18,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,0.7843137254901961,0.978,0,20.88089656829834,0.0001554643517088793,1.0,,
2.0,0.5,19,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0.7272727272727273,0.97,0,16.220685958862305,0.00012814435086870362,1.0,,
3.0,0.33,0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.9666666666666667,0.9955555555555555,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,31.20878505706787,0.022188659708829703,1.0,,
3.0,0.33,1,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9859154929577464,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,22.86991548538208,0.0008385159602905042,1.0,,
3.0,0.33,2,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,0.9,0.0,1.0,0.9,0.964,18,0.9473684210526316,0.996,0,20.034493923187256,0.00468717522513626,1.0,,
